student_id,name,branch,year,admission_year,age,avg_attendance_overall,last_4_week_attendance,current_sgpa,cgpa,backlog_prev,backlog_curr,fee_status,lms_logins_30d,dropout_label
S0153,Banjeet Balasubramanian,Information Technology,2,2023,18,75.55,72.69,7.28,7.26,0,0,overdue,3,0
S0154,Anmol Dua,Mathematics and Computing,2,2025,18,45.63,47.12,6.18,6.48,0,0,paid,10,0
S0155,Urvashi Contractor,Electronics and Communication Engineering,3,2025,21,69.64,68.17,8.48,7.54,0,0,paid,10,0
S0156,Udyati Kunda,Mechanical Engineering,3,2021,23,89.81,98.91,5.55,5.82,0,0,paid,8,0
S0157,Oliver Contractor,Chemical Engineering,3,2022,23,59.91,39.94,6.44,6.39,0,0,paid,10,0
S0158,Deepa Chokshi,Mathematics and Computing,1,2020,21,76.12,75.67,7.42,7.48,0,0,paid,5,0
S0159,Devika Prashad,Mechanical Engineering,1,2024,20,63.24,55.86,3.91,4.0,0,0,overdue,8,1
S0160,Faqid Kibe,Mathematics and Computing,1,2024,17,96.15,100.0,5.39,5.22,0,0,paid,8,0
S0161,Jai Barman,Mathematics and Computing,1,2022,19,97.36,98.49,6.49,6.58,0,0,paid,12,0
S0162,Kamala Biswas,Biotechnology,3,2024,21,69.49,58.83,6.52,6.81,0,0,paid,5,0
S0163,Advik Salvi,Biotechnology,1,2025,23,78.63,90.08,5.34,5.42,0,0,paid,7,0
S0164,Hitesh Sant,Information Technology,2,2022,19,61.47,44.51,5.99,6.23,1,1,paid,3,0
S0165,Michael Saran,Chemical Engineering,1,2022,18,68.75,69.52,5.82,5.83,0,0,paid,5,0
S0166,Veda Shroff,Information Technology,4,2022,20,81.54,83.84,5.72,5.92,0,0,overdue,8,0
S0167,Ekantika Korpal,Production and Industrial Engineering,4,2020,23,48.14,24.81,7.22,7.01,0,0,paid,7,0
S0168,Arya Seshadri,Mathematics and Computing,4,2022,18,77.58,64.52,7.63,7.44,0,0,overdue,6,0
S0169,Ladli Nayar,Mechanical Engineering,2,2021,17,97.76,100.0,5.81,6.14,0,0,paid,0,0
S0170,Ekta Gopal,Biotechnology,1,2025,20,74.76,79.93,3.62,3.43,1,1,overdue,13,1
S0171,Isha Kuruvilla,Electronics and Communication Engineering,3,2025,19,78.26,73.32,6.32,6.56,0,0,paid,12,0
S0172,Anya Anne,Electrical Engineering,1,2020,21,78.35,79.6,7.9,7.9,0,0,paid,8,0
S0173,Frederick Khurana,Biotechnology,3,2021,22,81.65,85.52,8.0,7.5,1,1,paid,5,0
S0174,Vrinda Khosla,Biotechnology,2,2023,22,88.51,96.93,5.96,6.03,0,0,paid,10,0
S0175,Vritti Sem,Mathematics and Computing,2,2021,23,75.3,91.66,5.52,5.91,0,0,paid,9,0
S0176,Girik Menon,Civil Engineering,3,2023,18,49.94,23.71,6.79,6.89,1,1,paid,5,0
S0177,Yagnesh Mohan,Mathematics and Computing,4,2022,22,73.6,69.54,7.49,8.06,0,0,paid,7,0
S0178,Urvashi Wali,Civil Engineering,3,2023,19,75.29,78.41,7.14,6.89,0,0,paid,11,0
S0179,Ganga Pandey,Civil Engineering,2,2023,22,87.05,100.0,8.74,8.65,0,0,paid,6,0
S0180,Anika Mohan,Electrical Engineering,4,2023,19,57.52,46.16,4.14,3.87,0,0,paid,8,1
S0181,Jai Hans,Chemical Engineering,2,2023,19,55.78,39.06,8.67,8.44,0,0,paid,4,0
S0182,Qasim Handa,Mathematics and Computing,3,2024,18,95.81,100.0,7.9,7.36,1,1,overdue,2,0
S0183,Aradhana Vohra,Information Technology,4,2023,21,76.66,91.86,2.82,3.64,0,1,overdue,5,1
S0184,Harish Hari,Information Technology,4,2021,19,46.61,21.89,5.37,6.06,0,0,paid,9,0
S0185,Jalsa Gola,Chemical Engineering,1,2024,19,81.19,78.68,6.62,6.79,0,0,overdue,11,0
S0186,Jonathan Mahal,Chemical Engineering,3,2024,17,40.52,18.89,8.61,7.62,1,1,overdue,6,0
S0187,Brinda Date,Production and Industrial Engineering,1,2023,22,65.59,57.55,7.82,8.02,0,0,paid,8,0
S0188,Harshil Arora,Mechanical Engineering,2,2025,21,60.52,44.77,5.44,5.48,0,0,paid,5,0
S0189,Upasna Srinivas,Information Technology,4,2020,20,73.02,81.7,9.3,8.26,1,1,paid,2,0
S0190,Qarin Behl,Computer Science Engineering,3,2020,19,66.46,60.78,6.0,6.65,0,0,paid,3,0
S0191,Ishaan Bhattacharyya,Chemical Engineering,2,2022,20,66.6,56.51,6.46,6.1,1,1,paid,1,0
S0192,Ethan Bera,Electronics and Communication Engineering,2,2025,18,63.96,66.07,7.64,7.12,1,1,paid,10,0
S0193,Daksha Chada,Mathematics and Computing,2,2023,18,87.38,100.0,5.68,6.06,0,0,paid,12,0
S0194,Omaja Kara,Biotechnology,3,2021,23,56.46,37.52,6.82,6.66,1,1,paid,10,0
S0195,Shravya Savant,Mechanical Engineering,2,2023,19,92.81,100.0,3.81,4.01,1,1,overdue,6,1
S0196,Dalaja Bhasin,Chemical Engineering,3,2022,21,90.16,97.93,7.68,7.58,0,0,paid,8,0
S0197,Sarthak Kakar,Biotechnology,1,2023,19,72.17,75.48,6.27,6.48,0,0,paid,2,0
S0198,Naksh Khatri,Mechanical Engineering,3,2024,18,71.16,61.95,3.36,3.86,0,0,paid,6,1
S0199,Naksh Agate,Mathematics and Computing,1,2020,20,87.9,99.94,5.76,5.68,1,1,paid,7,0
S0200,Upma Manne,Electrical Engineering,3,2022,17,95.78,100.0,6.69,6.75,0,0,paid,13,0
S0201,Bhavya Mandal,Electronics and Communication Engineering,1,2022,22,89.97,98.58,7.29,7.34,1,1,paid,3,0
S0202,Ekavir Kaur,Biotechnology,1,2022,19,65.99,66.78,7.03,6.78,2,2,paid,6,0
S0203,Pavani Contractor,Mechanical Engineering,3,2020,21,63.84,60.65,5.91,6.32,0,0,paid,16,0
S0204,Manthan Lata,Production and Industrial Engineering,3,2021,23,77.29,86.19,6.66,6.76,0,0,overdue,5,0
S0205,Ekbal Bhasin,Mechanical Engineering,4,2021,18,70.51,71.97,10.0,8.97,1,1,paid,7,0
S0206,Bhavya Sarna,Information Technology,4,2022,17,90.76,94.57,6.88,6.43,0,0,paid,9,0
S0207,Daksha Rau,Chemical Engineering,3,2021,19,62.81,51.76,4.43,4.28,0,1,paid,2,1
S0208,Raksha Buch,Biotechnology,3,2020,21,91.71,99.12,7.04,7.3,0,0,paid,0,0
S0209,Rachana Naidu,Chemical Engineering,3,2024,21,49.48,38.3,5.27,5.29,1,1,paid,8,0
S0210,Atharv Chand,Mathematics and Computing,3,2020,18,85.65,92.43,6.93,6.71,0,0,paid,3,0
S0211,Amruta Baria,Biotechnology,3,2020,23,54.29,46.84,7.73,7.37,1,1,paid,7,0
S0212,Upma Venkataraman,Computer Science Engineering,3,2020,22,86.11,100.0,4.86,5.78,0,1,paid,8,0
S0213,Arunima Golla,Electronics and Communication Engineering,4,2024,21,80.71,85.25,3.88,5.11,0,0,paid,6,0
S0214,Vyanjana Chand,Chemical Engineering,2,2024,20,56.07,45.79,8.05,8.3,1,1,paid,5,0
S0215,Nilima Nath,Mathematics and Computing,4,2023,19,54.72,31.91,7.26,6.99,0,0,paid,13,0
S0216,Naveen Narayan,Civil Engineering,2,2025,20,69.21,55.63,6.85,6.82,0,0,overdue,10,0
S0217,Bhavya Rattan,Information Technology,3,2022,23,49.75,19.38,5.35,5.82,1,1,overdue,0,0
S0218,Suhani Chakrabarti,Computer Science Engineering,4,2022,19,57.14,59.52,8.32,7.74,0,0,overdue,3,0
S0219,Ekiya D’Alia,Information Technology,2,2023,23,46.99,37.33,7.51,7.83,0,0,paid,7,0
S0220,Yoshita Agarwal,Computer Science Engineering,3,2020,22,91.12,100.0,8.46,7.42,2,2,paid,4,0
S0221,Odika Bhagat,Electrical Engineering,1,2024,18,55.67,45.01,6.46,6.4,0,0,paid,10,0
S0222,Wishi Sathe,Electrical Engineering,2,2024,23,62.67,56.74,6.17,6.02,0,0,paid,9,0
S0223,Samar Loke,Computer Science Engineering,3,2024,21,59.4,53.87,5.63,6.02,1,1,paid,6,0
S0224,Bhavna Sarma,Production and Industrial Engineering,3,2021,22,82.36,80.42,6.93,7.0,1,1,paid,10,0
S0225,Jairaj Balakrishnan,Electronics and Communication Engineering,1,2020,22,81.17,84.56,6.89,6.99,0,0,overdue,2,0
S0226,Nathan Mukhopadhyay,Civil Engineering,1,2024,21,97.23,99.81,8.37,8.26,1,1,paid,10,0
S0227,Nikita Chander,Chemical Engineering,1,2025,18,62.25,52.64,4.97,5.14,1,1,overdue,9,0
S0228,Triya Dalal,Mathematics and Computing,1,2024,22,71.7,81.02,6.51,6.36,0,0,paid,0,0
S0229,Wishi Manne,Computer Science Engineering,3,2024,21,96.45,100.0,5.16,5.61,0,0,overdue,7,0
S0230,Ojasvi Subramanian,Biotechnology,4,2020,20,74.07,75.09,8.49,7.68,1,1,paid,8,0
S0231,Tanmayi Dhillon,Biotechnology,1,2025,20,58.48,49.85,6.24,6.3,0,0,paid,3,0
S0232,Yashoda Deshpande,Information Technology,2,2021,23,94.43,94.8,7.69,7.24,1,1,paid,11,0
S0233,Anya Sachdeva,Civil Engineering,4,2024,19,97.54,100.0,5.93,6.1,1,1,paid,5,0
S0234,Aarnav Mandal,Production and Industrial Engineering,4,2023,22,53.67,41.47,5.48,4.99,0,0,paid,10,1
S0235,Vrishti Dixit,Production and Industrial Engineering,2,2025,20,64.8,58.94,8.2,7.95,0,0,overdue,7,0
S0236,Hemani Natarajan,Civil Engineering,4,2023,21,55.48,38.94,8.78,7.89,0,0,paid,8,0
S0237,Tamanna Nagy,Chemical Engineering,3,2022,23,91.14,96.16,5.61,5.87,0,0,paid,4,0
S0238,William Rajagopal,Biotechnology,1,2021,18,87.0,91.74,4.45,4.44,0,1,paid,7,1
S0239,Caleb Nadkarni,Civil Engineering,2,2025,22,89.23,90.44,6.82,6.93,0,0,paid,4,0
S0240,Lakshmi Raju,Production and Industrial Engineering,3,2024,22,50.6,59.84,8.55,8.3,0,0,paid,9,0
S0241,Warhi Bansal,Chemical Engineering,1,2025,18,77.49,92.03,7.22,6.84,0,0,paid,10,0
S0242,Harish Sarraf,Information Technology,2,2022,17,71.77,70.59,6.09,6.54,0,0,paid,8,0
S0243,Alexander Dhawan,Civil Engineering,3,2020,20,68.9,73.08,5.33,5.91,0,0,paid,15,0
S0244,Falan Singh,Chemical Engineering,1,2021,23,90.45,99.83,7.14,7.15,0,0,paid,13,0
